gees_cerebrum_atrophy_generalized
gees_cerebrum_atrophy_frontal
gees_cerebrum_atrophy_occipital
gees_cerebrum_atrophy_temporal
gees_cerebrum_atrophy_parietal
gecs_ventricles_lateral_ventricle_generalized_enlargement
gecs_ventricles_lateral_ventricle_frontal_horn_enlargement
gecs_ventricles_lateral_ventricle_occipital_horn_enlargement
gecs_ventricles_lateral_ventricle_temporal_horn_enlargement
